chan        Avg              Med              Mod
CH_01        92.78            96.50            94.52
CH_02        89.61            93.25            91.32
CH_03        90.48            94.32            92.26
CH_04        95.148768        99.186912        97.020616
CH_05        56.427294        60.4083          57.764199
CH_06        24.50742         24.55816         24.436384
CH_07        14.288811        14.36166         14.215962
CH_16        90.353328        94.187952        92.130836
CH_17        85.033104        88.641936        86.705948
CH_18        86.345064        90.009576        88.043718
CH_19        94.225872        98.224848        96.079564
